,setID,RepCount,isValid,removed,StartMessg,RepN,AvgVel,ROM,PeakVel,PeakVelLoc,PeakAccel,RepDur,TimeBWReps,TimeRepComp,TimeRepWait,SlowAllow,Backlight
0,0012bf64-dc61-435e-b8c7-0dfefc7d87b0,0,True,False,-2345,2,0.4310794,472,0.8176647,78,-2121,1096985,2,1.184621e+09,0,130000,10000
1,0012bf64-dc61-435e-b8c7-0dfefc7d87b0,1,True,False,-2345,3,0.4650812,469,0.9466205,74,-2121,1010681,0,1.187191e+09,0,130000,10000
2,0012bf64-dc61-435e-b8c7-0dfefc7d87b0,2,True,False,-2345,4,0.4436272,472,0.9866329,75,-2121,1065552,0,1.18971e+09,0,130000,10000
3,0012bf64-dc61-435e-b8c7-0dfefc7d87b0,3,True,False,-2345,5,0.4047689,464,0.9479347,75,-2121,1147857,0,1.192935e+09,0,130000,10000
4,003d2add-1ed5-47cc-a999-cd31c8986528,0,True,False,-2345,1,0.32,297,0.55,88,-2121,940430,6,2725639400,0,130000,10000
5,003d2add-1ed5-47cc-a999-cd31c8986528,1,True,False,-2345,2,0.33,289,0.55,88,-2121,885529,0,2728677000,0,130000,10000
6,00554e97-6ed7-4ce1-8af8-e7443f552bab,0,True,False,-1234,1,0.3620549,224,0.5099388,48,-9999,5,10,-9876,1159.091,653.0653,534.0543
7,00554e97-6ed7-4ce1-8af8-e7443f552bab,1,True,False,-1234,2,0.34224,248,0.5026375,47,-9999,5,10,-9876,1214.079,717.0585,680.0528
8,00554e97-6ed7-4ce1-8af8-e7443f552bab,2,True,False,-1234,3,0.3041081,258,0.4818494,40,-9999,5,10,-9876,1077.093,628.0686,500.0662
9,00554e97-6ed7-4ce1-8af8-e7443f552bab,3,True,False,-1234,4,0.2561081,274,0.4599207,35,-9999,5,10,-9876,991.0906,619.0692,512.0686
10,00554e97-6ed7-4ce1-8af8-e7443f552bab,4,True,False,-1234,5,0.2065015,266,0.4072661,24,-9999,5,10,-9876,1202.08,781.0659,708.0701
11,00554e97-6ed7-4ce1-8af8-e7443f552bab,5,True,False,-1234,6,0.1657236,296,0.4024133,23,-9999,5,10,-9876,1220.082,793.0653,726.0659
12,005a6a7e-edc2-4901-b908-006be97a8c1b,0,True,False,-2345.0,19.0,0.5593007,303.0,0.786805,85.0,-2121.0,542817.0,3.0,8.6453325E8,0.0,130000.0,10000.0
13,005a6a7e-edc2-4901-b908-006be97a8c1b,1,True,False,-2345.0,20.0,0.5924078,273.0,0.6587072,88.0,-2121.0,461578.0,0.0,8.657602E8,0.0,130000.0,10000.0
14,005a6a7e-edc2-4901-b908-006be97a8c1b,2,True,False,-2345.0,21.0,0.52557015,292.0,0.653662,91.0,-2121.0,556793.0,0.0,8.6703155E8,0.0,130000.0,10000.0
15,005a6a7e-edc2-4901-b908-006be97a8c1b,3,True,False,-2345.0,22.0,0.5492801,292.0,0.62138796,91.0,-2121.0,532501.0,0.0,8.6821357E8,0.0,130000.0,10000.0
16,005a6a7e-edc2-4901-b908-006be97a8c1b,4,True,False,-2345.0,23.0,0.47872287,286.0,0.58946687,91.0,-2121.0,599457.0,0.0,8.6945056E8,0.0,130000.0,10000.0
17,005a6a7e-edc2-4901-b908-006be97a8c1b,5,True,False,-2345.0,24.0,0.42684224,294.0,0.4995427,30.0,-2121.0,691375.0,0.0,8.707983E8,0.0,130000.0,10000.0
18,00f10f53-3fde-41d5-b03e-4397223fb78e,0,True,False,-2345,7,0.33,663,0.79,92,-2121,2004180,4,2649840400,0,130000,10000
19,00f6396a-6fa0-4946-ae1c-8236d52943e9,0,True,False,-2345.0,8.0,0.30233696,248.0,0.46406117,87.0,-2121.0,822022.0,4.0,7.4858726E8,0.0,130000.0,10000.0
20,00f6396a-6fa0-4946-ae1c-8236d52943e9,1,True,False,-2345.0,9.0,0.25850222,232.0,0.43397427,91.0,-2121.0,898407.0,0.0,7.5175034E8,0.0,130000.0,10000.0
21,010ac615-e85c-4447-aeeb-2fe2e7712653,0,True,False,-1234,1,0.4338211,266,0.6134744,70,-9999,5,10,-9876,1113.069,738.0579,573.0442
22,010ac615-e85c-4447-aeeb-2fe2e7712653,1,True,False,-1234,2,0.388267,290,0.5834244,44,-9999,5,10,-9876,970.0781,601.0647,500.0555
23,010ac615-e85c-4447-aeeb-2fe2e7712653,2,True,False,-1234,3,0.2975846,309,0.5091603,32,-9999,5,10,-9876,1083.079,711.0622,604.0518
24,01341c93-4398-45ea-bf88-ed39965fd663,0,True,False,-1234,1,0.844997,576,1.451578,74,-9999,5,10,-9876,903.0616,528.0402,445.036
25,01341c93-4398-45ea-bf88-ed39965fd663,1,True,False,-1234,2,0.9025872,605,1.548462,77,-9999,5,10,-9876,680.0552,424.0439,375.0399
26,01341c93-4398-45ea-bf88-ed39965fd663,2,True,False,-1234,3,0.8985288,608,1.51333,78,-9999,5,10,-9876,790.0497,473.0366,430.0332
27,01341c93-4398-45ea-bf88-ed39965fd663,3,True,False,-1234,4,0.8853092,586,1.501407,79,-9999,5,10,-9876,644.0579,424.0466,360.039
28,01341c93-4398-45ea-bf88-ed39965fd663,4,True,False,-1234,5,0.8851969,570,1.491336,78,-9999,5,10,-9876,732.0586,494.047,378.0418
29,01341c93-4398-45ea-bf88-ed39965fd663,5,True,False,-1234,6,0.8548333,594,1.48718,78,-9999,5,10,-9876,714.0595,460.0476,396.0412
30,01341c93-4398-45ea-bf88-ed39965fd663,6,True,False,-1234,7,0.8723812,594,1.456332,73,-9999,5,10,-9876,799.0521,488.0387,424.0341
31,01341c93-4398-45ea-bf88-ed39965fd663,7,True,False,-1234,8,0.8611645,570,1.430563,78,-9999,5,10,-9876,769.0518,531.0408,427.0326
32,01341c93-4398-45ea-bf88-ed39965fd663,8,True,False,-1234,9,0.8189278,589,1.490503,77,-9999,5,10,-9876,781.0634,476.0491,399.0445
33,01341c93-4398-45ea-bf88-ed39965fd663,9,True,False,-1234,10,0.8829075,610,1.509904,80,-9999,5,10,-9876,787.0552,494.0448,433.0354
34,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,0,True,False,-2345,17,0.33,273,0.41,77,-2121,827331,2,414792128,0,130000,10000
35,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,1,True,False,-2345,18,0.34,292,0.42,87,-2121,861420,0,416967072,0,130000,10000
36,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,2,True,False,-2345,19,0.34,292,0.44,88,-2121,856506,0,418986464,0,130000,10000
37,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,3,True,False,-2345,20,0.32,300,0.39,86,-2121,939148,0,420962880,0,130000,10000
38,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,4,True,False,-2345,21,0.3,308,0.38,88,-2121,1027954,0,423051680,0,130000,10000
39,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,5,True,False,-2345,22,0.25,292,0.3,85,-2121,1168213,0,425247872,0,130000,10000
40,015b153d-b689-4a6a-a3ff-4cb241f4b6d2,6,True,False,-2345,23,0.25,305,0.29,90,-2121,1238098,0,429439744,0,130000,10000
41,0180b84a-b2bb-478b-ba3e-71422a22b3d9,0,True,False,-2345,1,0.28,262,0.4,89,-2121,926758,3,215520928,0,130000,10000
42,0180b84a-b2bb-478b-ba3e-71422a22b3d9,1,True,False,-2345,2,0.27,278,0.34,85,-2121,1029938,0,219548704,0,130000,10000
43,0180b84a-b2bb-478b-ba3e-71422a22b3d9,2,True,False,-2345,3,0.23,267,0.32,90,-2121,1151825,0,224020656,0,130000,10000
44,0180b84a-b2bb-478b-ba3e-71422a22b3d9,3,True,False,-2345,4,0.17,264,0.25,75,-2121,1545105,0,229501792,0,130000,10000
45,0195d28c-a997-4027-b78c-871b2f15af27,0,True,False,-2345,11,0.3252652,289,0.4287957,84,-2121,890350,2,2.157436e+09,0,130000,10000
46,0195d28c-a997-4027-b78c-871b2f15af27,1,True,False,-2345,12,0.3130727,305,0.4093839,85,-2121,977051,0,2.160245e+09,0,130000,10000
47,0195d28c-a997-4027-b78c-871b2f15af27,2,True,False,-2345,13,0.2977304,300,0.3907569,85,-2121,1009186,0,2.162921e+09,0,130000,10000
48,0195d28c-a997-4027-b78c-871b2f15af27,3,True,False,-2345,14,0.2806861,303,0.3437815,87,-2121,1080536,0,2.165649e+09,0,130000,10000
49,0195d28c-a997-4027-b78c-871b2f15af27,4,True,False,-2345,15,0.2582452,308,0.3248484,86,-2121,1195160,0,2.168592e+09,0,130000,10000
50,0195d28c-a997-4027-b78c-871b2f15af27,5,True,False,-2345,16,0.2218685,300,0.267195,88,-2121,1354065,0,2.173529e+09,0,130000,10000
51,01a12f5c-b8b1-47bb-98c2-e6867f506d1e,0,True,False,-2345,3,1.04,595,1.87,76,-2121,575897,0,221670720,0,130000,10000
52,01a12f5c-b8b1-47bb-98c2-e6867f506d1e,1,True,False,-2345,4,1.1,617,1.81,77,-2121,563141,0,224591460,0,130000,10000
53,01a12f5c-b8b1-47bb-98c2-e6867f506d1e,2,True,False,-2345,5,1.12,636,1.93,74,-2121,566955,0,227012480,0,130000,10000
54,01a12f5c-b8b1-47bb-98c2-e6867f506d1e,3,True,False,-2345,6,1.18,652,2.05,79,-2121,553985,0,229296820,0,130000,10000
55,01a12f5c-b8b1-47bb-98c2-e6867f506d1e,4,True,False,-2345,7,1.17,639,1.87,79,-2121,547211,0,231548430,0,130000,10000
56,01d31436-0f3e-4101-9aa4-284b20de2330,0,True,False,-2345,21,0.51,639,0.8,82,-2121,1260895,8,119395680,0,130000,10000
57,01d31436-0f3e-4101-9aa4-284b20de2330,1,True,False,-2345,22,0.5,628,0.8,84,-2121,1251923,0,123255144,0,130000,10000
58,01d31436-0f3e-4101-9aa4-284b20de2330,2,True,False,-2345,23,0.49,652,0.82,87,-2121,1326630,0,126708760,0,130000,10000
59,01d31436-0f3e-4101-9aa4-284b20de2330,3,True,False,-2345,24,0.46,666,0.73,84,-2121,1437775,0,130176320,0,130000,10000
60,01d31436-0f3e-4101-9aa4-284b20de2330,4,True,False,-2345,25,0.42,644,0.73,88,-2121,1530365,0,135012048,0,130000,10000
61,01d31436-0f3e-4101-9aa4-284b20de2330,5,True,False,-2345,26,0.43,674,0.82,91,-2121,1577087,0,139132592,0,130000,10000
62,01d31436-0f3e-4101-9aa4-284b20de2330,6,True,False,-2345,27,0.41,652,0.74,92,-2121,1584626,0,145844288,0,130000,10000
63,01d31436-0f3e-4101-9aa4-284b20de2330,7,True,False,-2345,28,0.39,666,0.77,90,-2121,1694580,0,152526240,0,130000,10000
64,01edbcb2-d280-4140-a98f-5315e4f37d39,0,True,False,-1234,1,0.4,261,0.56,47,-9999,5,10,-9876,912.07,570.06,485.05
65,01edbcb2-d280-4140-a98f-5315e4f37d39,1,True,False,-1234,2,0.39,309,0.6,38,-9999,5,10,-9876,909.08,595.06,482.05
66,02089701-e158-4500-9fcb-9cfd5aac908a,0,True,False,-2345,35,0.32,461,0.72,72,-2121,1449128,4,2614945536,948730,130000,10000
67,02089701-e158-4500-9fcb-9cfd5aac908a,1,True,False,-2345,36,0.4,387,0.78,57,-2121,958221,0,2619764480,0,130000,10000
68,02089701-e158-4500-9fcb-9cfd5aac908a,2,True,False,-2345,37,0.38,360,0.69,55,-2121,958099,0,2624193536,0,130000,10000
69,02089701-e158-4500-9fcb-9cfd5aac908a,3,True,False,-2345,38,0.42,355,0.76,60,-2121,851684,0,2628243712,0,130000,10000
70,02089701-e158-4500-9fcb-9cfd5aac908a,4,True,False,-2345,39,0.28,467,0.8,77,-2121,1682008,0,2632593920,593536,130000,10000
71,02089701-e158-4500-9fcb-9cfd5aac908a,5,True,False,-2345,40,0.29,464,0.86,75,-2121,1597534,0,2636846080,505066,130000,10000
73,020d77ac-7506-4709-aa6a-600d3dd8b57e,1,True,False,-2345.0,9.0,0.3578106,453.0,0.5164524,89.0,-2121.0,1267578.0,8.0,1.2955744E9,0.0,130000.0,10000.0
74,020d77ac-7506-4709-aa6a-600d3dd8b57e,2,True,False,-2345.0,10.0,0.33389613,472.0,0.593051,91.0,-2121.0,1415192.0,0.0,1.3007986E9,0.0,130000.0,10000.0
75,021a8969-7550-43f2-b400-ab8a1251f38d,0,True,False,-2345,10,0.12,191,0.18,48,-2121,1550903,1,1735474944,320008,130000,10000
76,021a8969-7550-43f2-b400-ab8a1251f38d,1,True,False,-2345,1,0.51,521,0.97,85,-2121,1032501,3,1967281792,0,130000,10000
77,021a8969-7550-43f2-b400-ab8a1251f38d,2,True,False,-2345,2,0.48,527,0.82,84,-2121,1089722,0,1971015680,0,130000,10000
78,021a8969-7550-43f2-b400-ab8a1251f38d,3,True,False,-2345,3,0.5,518,0.79,86,-2121,1029816,0,1975599744,0,130000,10000
79,021a8969-7550-43f2-b400-ab8a1251f38d,4,True,False,-2345,4,0.45,497,0.8,86,-2121,1095489,0,1979817856,0,130000,10000
80,02327f0e-7119-4dd3-80f7-298e4caaa2fa,0,True,False,-2345,1,0.5,300,0.73,86,-2121,603760,1,93366056,0,130000,10000
81,02327f0e-7119-4dd3-80f7-298e4caaa2fa,1,True,False,-2345,2,0.52,284,0.62,83,-2121,546845,0,94655912,0,130000,10000
82,02327f0e-7119-4dd3-80f7-298e4caaa2fa,2,True,False,-2345,3,0.52,297,0.62,87,-2121,572021,0,95980408,0,130000,10000
83,02327f0e-7119-4dd3-80f7-298e4caaa2fa,3,True,False,-2345,4,0.42,278,0.57,83,-2121,660309,0,97560272,0,130000,10000
84,02327f0e-7119-4dd3-80f7-298e4caaa2fa,4,True,False,-2345,5,0.57,319,0.71,86,-2121,562042,0,98838960,0,130000,10000
85,02327f0e-7119-4dd3-80f7-298e4caaa2fa,5,True,False,-2345,6,0.47,297,0.56,86,-2121,639679,0,100174656,0,130000,10000
