,setID,RepCount,isValid,removed,hardware,appVersion,StartMessg,RepN,AvgVel,ROM,PeakVel,PeakVelLoc,PeakAccel,RepDur,TimeBWReps,TimeRepComp,TimeRepWait,SlowAllow,Backlight
0,000a9f70-3de9-443f-97fc-19ce3f508334,0,True,False,ios,1.5.3,-2345,42,0.3114586,259,0.4696475,88,-2121,833008,3,2.527697e+09,0,130000,10000
1,000a9f70-3de9-443f-97fc-19ce3f508334,1,True,False,ios,1.5.3,-2345,43,0.3529621,270,0.4837053,80,-2121,766174,0,2.529368e+09,0,130000,10000
2,000a9f70-3de9-443f-97fc-19ce3f508334,2,True,False,ios,1.5.3,-2345,44,0.3337132,267,0.4577606,91,-2121,802307,0,2.530953e+09,0,130000,10000
3,000a9f70-3de9-443f-97fc-19ce3f508334,3,True,False,ios,1.5.3,-2345,45,0.2824253,289,0.4184158,94,-2121,1025482,0,2.534291e+09,0,130000,10000
4,000a9f70-3de9-443f-97fc-19ce3f508334,4,True,False,ios,1.5.3,-2345,46,0.2384982,333,0.2965255,95,-2121,1397644,0,2.536526e+09,0,130000,10000
5,000a9f70-3de9-443f-97fc-19ce3f508334,5,True,False,ios,1.5.3,-2345,47,0.2476107,278,0.4041735,90,-2121,1125579,0,2.540843e+09,0,130000,10000
6,000a9f70-3de9-443f-97fc-19ce3f508334,6,True,False,ios,1.5.3,-2345,48,0.2779906,294,0.3824394,70,-2121,1061982,0,2.542893e+09,0,130000,10000
7,000a9f70-3de9-443f-97fc-19ce3f508334,7,True,False,ios,1.5.3,-2345,49,0.2608647,308,0.4304855,92,-2121,1183686,0,2.547824e+09,0,130000,10000
8,000a9f70-3de9-443f-97fc-19ce3f508334,8,True,False,ios,1.5.3,-2345,50,0.1925952,273,0.2682975,72,-2121,1418579,0,2.553165e+09,340271,130000,10000
9,001dbc50-18a6-4d0c-9108-53a2d8a59fa6,0,True,False,android,1.5.2,-2345.0,51.0,0.21674603,232.0,0.2699417,52.0,-2121.0,1071137.0,7.0,4.1567907E8,0.0,130000.0,10000.0
10,001dbc50-18a6-4d0c-9108-53a2d8a59fa6,1,True,False,android,1.5.2,-2345.0,52.0,0.2433114,292.0,0.3134397,34.0,-2121.0,1201233.0,0.0,4.191606E8,0.0,130000.0,10000.0
